,name,id,tags,val/llmse_climax,dirs/ckpt_dir
268,INM-CM5-0_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_16h10m_on_Jun_09_1v8l1984,1v8l1984,"['INM-CM5-0', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.06714855581537166,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
265,TaiESM1_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_16h14m_on_Jun_09_s1nm60u9,s1nm60u9,"['TaiESM1', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.19209847563390925,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
272,TaiESM1_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_15h44m_on_Jun_09_3vyok0s1,3vyok0s1,"['TaiESM1', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.06492075197618094,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
274,BCC-CSM2-MR_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_05h52m_on_Jun_07_pv04oey0,pv04oey0,"['BCC-CSM2-MR', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.15757661307292342,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
313,MPI-ESM1-2-HR_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_20h22m_on_Jun_06_3jvnd5wy,3jvnd5wy,"['MPI-ESM1-2-HR', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.07904021518673915,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
315,MPI-ESM1-2-HR_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_20h10m_on_Jun_06_wrmsx4pd,wrmsx4pd,"['MPI-ESM1-2-HR', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.2657400173345314,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
318,NorESM2-LM_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_18h09m_on_Jun_06_310x0h1b,310x0h1b,"['NorESM2-LM', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.14752685748594546,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
322,EC-Earth3_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_17h55m_on_Jun_06_39w79l7r,39w79l7r,"['EC-Earth3', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.2489105857214131,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
324,FGOALS-f3-L_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_17h48m_on_Jun_06_4far8fhz,4far8fhz,"['FGOALS-f3-L', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.22922017730439603,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
327,AWI-CM-1-1-MR_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_17h41m_on_Jun_06_zgcz9ml5,zgcz9ml5,"['AWI-CM-1-1-MR', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.29400381401678155,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
330,NorESM2-LM_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_16h15m_on_Jun_06_nf65nqdo,nf65nqdo,"['NorESM2-LM', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.056039074216936026,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
333,BCC-CSM2-MR_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_15h51m_on_Jun_06_1b4u3tud,1b4u3tud,"['BCC-CSM2-MR', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.0672355555834929,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
336,EC-Earth3_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_15h06m_on_Jun_06_885rnvou,885rnvou,"['EC-Earth3', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.09341167260268204,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
340,FGOALS-f3-L_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_14h32m_on_Jun_06_rxnmits0,rxnmits0,"['FGOALS-f3-L', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.09837044769671432,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
342,AWI-CM-1-1-MR_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_12h43m_on_Jun_06_hd4b0mhd,hd4b0mhd,"['AWI-CM-1-1-MR', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.10569370239366206,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
343,AWI-CM-1-1-MR_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_12h37m_on_Jun_06_7hvn4zr5,7hvn4zr5,"['AWI-CM-1-1-MR', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.10744833065078302,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
