,name,id,tags,val/llmse_climax,checkpoint_path
185,CNRM-CM6-1-HR_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_17h17m_on_Jan_09_vdm3qu3v,vdm3qu3v,"['CNRM-CM6-1-HR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.11846004285596978,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/vdm3qu3v/checkpoints/epoch=49-step=2950.ckpt
188,CAS-ESM2-0_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_16h58m_on_Jan_09_4bbuz222,4bbuz222,"['CAS-ESM2-0', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.08889091036368504,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/4bbuz222/checkpoints/epoch=49-step=2950.ckpt
189,BCC-CSM2-MR_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_7seed_16h52m_on_Jan_09_zcs04apj,zcs04apj,"['BCC-CSM2-MR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.08249936954466597,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/zcs04apj/checkpoints/epoch=49-step=2950.ckpt
192,AWI-CM-1-1-MR_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_7seed_16h33m_on_Jan_09_9r951cg3,9r951cg3,"['AWI-CM-1-1-MR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.1339947561371304,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/9r951cg3/checkpoints/epoch=49-step=2950.ckpt
197,NorESM2-LM_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_16h02m_on_Jan_09_64y0zy7t,64y0zy7t,"['NorESM2-LM', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.07472714882311944,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/64y0zy7t/checkpoints/epoch=49-step=2950.ckpt
199,TaiESM1_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_15h34m_on_Jan_09_0z5vgl7g,0z5vgl7g,"['TaiESM1', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07231005953094465,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/0z5vgl7g/checkpoints/epoch=49-step=2950.ckpt
203,NorESM2-MM_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_14h37m_on_Jan_09_wl2ahocy,wl2ahocy,"['NorESM2-MM', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08309854496492022,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/wl2ahocy/checkpoints/epoch=49-step=2950.ckpt
205,MRI-ESM2-0_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_14h10m_on_Jan_09_y5e2d257,y5e2d257,"['MRI-ESM2-0', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07928496721164649,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/y5e2d257/checkpoints/epoch=49-step=2950.ckpt
207,MPI-ESM1-2-HR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_13h42m_on_Jan_09_mta612v4,mta612v4,"['MPI-ESM1-2-HR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08607010490946382,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/mta612v4/checkpoints/epoch=49-step=2950.ckpt
210,INM-CM5-0_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_12h59m_on_Jan_09_1ks933go,1ks933go,"['INM-CM5-0', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07663501290685418,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/1ks933go/checkpoints/epoch=49-step=2950.ckpt
