variable_id,description,table_id(s)
reffclws,Stratiform Cloud Liquid Droplet Effective Radius [m],Emon
reffclwtop,Cloud-Top Effective Droplet Radius [m],AERmon
reffsclwtop,Cloud-Top Effective Droplet Radius in Stratiform Cloud [m],Eday
remoc,Remineralization of Organic Carbon [mol m-3 s-1],Oyr
residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil [%],Lmon
rGrowth,Carbon Mass Flux into Atmosphere Due to Growth Autotrophic Respiration on Land [kg m-2 s-1],Lmon
rhc13,Mass Flux of 13C into Atmosphere Due to Heterotrophic Respiration on Land [kg m-2 s-1],Emon
rhc14,Mass Flux of 14C into Atmosphere Due to Heterotrophic Respiration on Land [kg m-2 s-1],Emon
rh,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kg m-2 s-1],"E3hr, Lmon"
rhGrass,Heterotrophic Respiration on Grass Tiles [kg m-2 s-1],Emon
rhLitter,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Litter on Land [kg m-2 s-1],Emon
rhLut,Soil Heterotrophic Respiration on Land-Use Tile [kg m-2 s-1],Emon
rhSoil,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land [kg m-2 s-1],Emon
rhTree,Heterotrophic Respiration on Tree Tiles [kg m-2 s-1],Emon
rivo,River Discharge [m3 s-1],Eday
rld4co2,Downwelling Longwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rldcs,Downwelling Clear-Sky Longwave Radiation [W m-2],CFsubhr
rld,Downwelling Longwave Radiation [W m-2],CFmon
rldscs,Surface Downwelling Clear-Sky Longwave Radiation [W m-2],"3hr, Amon, CF3hr, CFday, CFsubhr"
rldsIs,Ice Sheet Surface Downwelling Longwave Radiation [W m-2],LImon
rlds,Surface Downwelling Longwave Radiation [W m-2],"3hr, Amon, CF3hr, CFsubhr, ImonAnt, ImonGre, day"
rlntds,Surface Net Downward Longwave Radiation [W m-2],Omon
rls,Net Longwave Surface Radiation [W m-2],"Eday, Emon, day"
rlu4co2,Upwelling Longwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rlucs4co2,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rlucs,Upwelling Clear-Sky Longwave Radiation [W m-2],"CFmon, CFsubhr"
rlusIs,Ice Sheet Surface Upwelling Longwave Radiation [W m-2],LImon
rlusLut,Surface Upwelling Longwave on Land-Use Tile [W m-2],Emon
rlus,Surface Upwelling Longwave Radiation [W m-2],"3hr, Amon, CF3hr, CFsubhr, ImonAnt, ImonGre, day"
rlut4co2,TOA Outgoing Longwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rlutaf,TOA Outgoing Aerosol-Free Longwave Radiation [W m-2],AERmon
rlutcsaf,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation [W m-2]",AERmon
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation [W m-2],"Amon, CF3hr, CFsubhr"
rlut,TOA Outgoing Longwave Radiation [W m-2],"Amon, CF3hr, CFsubhr, day"
rlu,Upwelling Longwave Radiation [W m-2],"CFmon, CFsubhr, Efx"
rMaint,Carbon Mass Flux into Atmosphere Due to Maintenance Autotrophic Respiration on Land [kg m-2 s-1],Lmon
rootd,Maximum Root Depth [m],fx
rsd4co2,Downwelling Shortwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rsdcs4co2,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rsdcs,Downwelling Clear-Sky Shortwave Radiation [W m-2],CFmon
rsd,Downwelling Shortwave Radiation [W m-2],Efx
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer [W m-2],"Emon, Oyr"
rsdo,Downwelling Shortwave Radiation in Sea Water [W m-2],Omon
rsdscsdiff,Surface Diffuse Downwelling Clear Sky Shortwave Radiation [W m-2],"Eday, Emon"
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation [W m-2],"3hr, Amon, CFday, CFsubhr"
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation [W m-2],"3hr, Eday, Emon"
rsdsIs,Ice Sheet Surface Downwelling Shortwave Radiation [W m-2],LImon
rsds,Surface Downwelling Shortwave Radiation [W m-2],"3hr, Amon, CFsubhr, ImonAnt, ImonGre, day"
rsdt,TOA Incident Shortwave Radiation [W m-2],"Amon, CF3hr, CFsubhr"
rsntds,Net Downward Shortwave Radiation at Sea Water Surface [W m-2],Omon
rss,Net Shortwave Surface Radiation [W m-2],"Eday, Emon, day"
rsu4co2,Upwelling Shortwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rsucs,Upwelling Clear-Sky Shortwave Radiation [W m-2],"CFmon, CFsubhr"
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation [W m-2],"3hr, Amon, CF3hr, CFday"
rsusIs,Ice Sheet Surface Upwelling Shortwave Radiation [W m-2],LImon
rsusLut,Surface Upwelling Shortwave on Land-use Tile [W m-2],Emon
rsus,Surface Upwelling Shortwave Radiation [W m-2],"3hr, Amon, CF3hr, CFsubhr, ImonAnt, ImonGre, day"
rsutaf,TOA Outgoing Aerosol-Free Shortwave Radiation [W m-2],AERmon
rsutcs4co2,TOA Outgoing Clear-Sky Shortwave Radiation 4XCO2 Atmosphere [W m-2],CFmon
rsutcsaf,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation [W m-2]",AERmon
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation [W m-2],"Amon, CF3hr, CFday"
rsut,TOA Outgoing Shortwave Radiation [W m-2],"Amon, CF3hr, CFday, CFsubhr"
rsu,Upwelling Shortwave Radiation [W m-2],"CFmon, CFsubhr, Efx"
rtmt,Net Downward Radiative Flux at Top of Model [W m-2],Amon
rv850,Relative Vorticity at 850hPa [s-1],"6hrPlev, 6hrPlevPt"
rzwc,Root Zone Soil Moisture [kg m-2],Eday
sandfrac,Sand Fraction [1],Efx
sblIs,Ice Sheet Surface Snow and Ice Sublimation Flux [kg m-2 s-1],LImon
sbl,Surface Snow and Ice Sublimation Flux [kg m-2 s-1],"Amon, CF3hr, CFsubhr, ImonAnt, ImonGre, LImon"
sci,Fraction of Time Shallow Convection Occurs [1],"Amon, CF3hr, CFsubhr"
sconcdust,Surface Concentration of Dust [kg m-3],Emon
sconcso4,Surface Concentration of SO4 [kg m-3],Emon
sconcss,Surface Concentration of Sea-Salt Aerosol [kg m-3],Emon
sedustCI,Sedimentation Flux of Dust Mode Coarse Insoluble [kg m-2 s-1],Emon
sf6,Mole Concentration of SF6 in sea water [mol m-3],"Omon, Oyr"
sfcWindmax,Daily Maximum Near-Surface Wind Speed [m s-1],"Emon, day"
sfcWind,Near-Surface Wind Speed [m s-1],"6hrPlev, 6hrPlevPt, Amon, CF3hr, CFsubhr, E3hr, day"
sfdsi,Downward Sea Ice Basal Salt Flux [kg m-2 s-1],"Odec, Omon, SImon"
sfno2,NO2 Volume Mixing Ratio in Lowest Model Layer [mol mol-1],AERhr
sfo3max,Daily Maximum O3 Volume Mixing Ratio in Lowest Model Layer [mol mol-1],AERday
sfo3,O3 Volume Mixing Ratio in Lowest Model Layer [mol mol-1],AERhr
sftgif,Land Ice Area Percentage [%],"LImon, fx"
sftgrf,Grounded Ice Sheet Area Percentage [%],"Efx, LImon"
sftlf,Percentage of the grid cell occupied by land (including lakes) [%],fx
sftof,Sea Area Percentage [%],Ofx
shrubFrac,Percentage Cover by Shrub [%],Lmon
siage,Age of Sea Ice [s],SImon
siareaacrossline,Sea-Ice Area Flux Through Straits [m2 s-1],SImon
siarean,Sea-Ice Area North [1e6 km2],SImon
siareas,Sea-Ice Area South [1e6 km2],SImon
sicompstren,Compressive Sea Ice Strength [N m-1],SImon
siconca,Sea-ice Area Percentage (Atmospheric Grid) [%],"SIday, SImon"
siconc,Sea-ice Area Percentage (Ocean Grid) [%],"SIday, SImon"
sidconcdyn,Sea-ice Area Percentage Tendency Due to Dynamics [s-1],SImon
sidconcth,Sea-ice Area Percentage Tendency Due to Thermodynamics [s-1],SImon
sidivvel,Divergence of the Sea-Ice Velocity Field [s-1],SImon
sidmassdyn,Sea-Ice Mass Change from Dynamics [kg m-2 s-1],SImon
sidmassevapsubl,Sea-Ice Mass Change Through Evaporation and Sublimation [kg m-2 s-1],SImon
sidmassgrowthbot,Sea-Ice Mass Change Through Basal Growth [kg m-2 s-1],SImon
sidmassgrowthwat,Sea-Ice Mass Change Through Growth in Supercooled Open Water (Frazil) [kg m-2 s-1],SImon
sidmasslat,Lateral Sea Ice Melt Rate [kg m-2 s-1],SImon
sidmassmeltbot,Sea-Ice Mass Change Through Bottom Melting [kg m-2 s-1],SImon
sidmassmelttop,Sea-Ice Mass Change Through Surface Melting [kg m-2 s-1],SImon
sidmasssi,Sea-Ice Mass Change Through Snow-to-Ice Conversion [kg m-2 s-1],SImon
sidmassth,Sea-Ice Mass Change from Thermodynamics [kg m-2 s-1],SImon
sidmasstranx,X-Component of Sea-Ice Mass Transport [kg s-1],SImon
sidmasstrany,Y-Component of Sea-Ice Mass Transport [kg s-1],SImon
sidragbot,Ocean Drag Coefficient [1],SImon
sidragtop,Atmospheric Drag Coefficient [1],SImon
siextentn,Sea-Ice Extent North [1e6 km2],SImon
siextents,Sea-Ice Extent South [1e6 km2],SImon
sifb,Sea-Ice Freeboard [m],SImon
siflcondbot,Net Conductive Heat Fluxes in Ice at the Bottom [W m-2],SImon
siflcondtop,Net Conductive Heat Flux in Ice at the Surface [W m-2],SImon
siflfwbot,Freshwater Flux from Sea Ice [kg m-2 s-1],SImon
siflfwdrain,Freshwater Flux from Sea-Ice Surface [kg m-2 s-1],SImon
sifllatstop,Net Latent Heat Flux over Sea Ice [W m-2],SImon
sifllwdtop,Downwelling Longwave Flux over Sea Ice [W m-2],SImon
sifllwutop,Upwelling Longwave Flux over Sea Ice [W m-2],SImon
siflsenstop,Net Upward Sensible Heat Flux over Sea Ice [W m-2],SImon
siflsensupbot,Net Upward Sensible Heat Flux Under Sea Ice [W m-2],SImon
siflswdbot,Downwelling Shortwave Flux Under Sea Ice [W m-2],SImon
siflswdtop,Downwelling Shortwave Flux over Sea Ice [W m-2],SImon
siflswutop,Upwelling Shortwave Flux over Sea Ice [W m-2],SImon
siforcecoriolx,Coriolis Force Term in Force Balance (X-Component) [N m-2],SImon
siforcecorioly,Coriolis Force Term in Force Balance (Y-Component) [N m-2],SImon
siforceintstrx,Internal Stress Term in Force Balance (X-Component) [N m-2],SImon
siforceintstry,Internal Stress Term in Force Balance (Y-Component) [N m-2],SImon
siforcetiltx,Sea-Surface Tilt Term in Force Balance (X-Component) [N m-2],SImon
siforcetilty,Sea-Surface Tilt Term in Force Balance (Y-Component) [N m-2],SImon
sihc,Sea-Ice Heat Content per Unit Area [J m-2],SImon
siitdconc,Sea-Ice Area Percentages in Thickness Categories [%],SImon
siitdsnthick,Snow Thickness in Ice Thickness Categories [m],SImon
siitdthick,Sea-Ice Thickness in Thickness Categories [m],SImon
siltfrac,Silt Fraction [1],Efx
simassacrossline,Sea Mass Area Flux Through Straits [kg s-1],SImon
simass,Sea-Ice Mass per Area [kg m-2],SImon
simpconc,Percentage Cover of Sea Ice by Meltpond [%],SImon
simpmass,Meltpond Mass per Unit Area (as Depth) [m],SImon
sios,Surface Total Dissolved Inorganic Silicon Concentration [mol m-3],Omon
sipr,Rainfall Rate over Sea Ice [kg m-2 s-1],SImon
sirdgconc,Percentage Cover of Sea Ice by Ridging [1],SImon
sirdgthick,Ridged Ice Thickness [m],SImon
sisali,Sea Ice Salinity [0.001],SImon
sisaltmass,Mass of Salt in Sea Ice per Area [kg m-2],SImon
sishevel,Maximum Shear of Sea-Ice Velocity Field [s-1],SImon
sisnconc,Snow Area Percentage [%],SImon
sisnhc,Snow Heat Content per Unit Area [J m-2],SImon
sisnmass,Snow Mass per Area [kg m-2],SImon
sisnthick,Snow Thickness [m],"SIday, SImon"
sispeed,Sea-Ice Speed [m s-1],"SIday, SImon"
sistremax,Maximum Shear Stress in Sea Ice [N m-1],SImon
sistresave,Average Normal Stress in Sea Ice [N m-1],SImon
sistrxdtop,X-Component of Atmospheric Stress on Sea Ice [N m-2],SImon
sistrxubot,X-Component of Ocean Stress on Sea Ice [N m-2],SImon
sistrydtop,Y-Component of Atmospheric Stress on Sea Ice [N m-2],SImon
sistryubot,Y-Component of Ocean Stress on Sea Ice [N m-2],SImon
sitempbot,Temperature at Ice-Ocean Interface [K],SImon
sitempsnic,Temperature at Snow-Ice Interface [K],SImon
sitemptop,Surface Temperature of Sea Ice [K],"SIday, SImon"
sithick,Sea Ice Thickness [m],"SIday, SImon"
sitimefrac,Fraction of Time Steps with Sea Ice [1],"SIday, SImon"
si,Total Dissolved Inorganic Silicon Concentration [mol m-3],"Omon, Oyr"
siu,X-Component of Sea-Ice Velocity [m s-1],"SIday, SImon"
sivoln,Sea-Ice Volume North [1e3 km3],SImon
sivol,Sea-Ice Volume per Area [m],SImon
sivols,Sea-Ice Volume South [1e3 km3],SImon
siv,Y-Component of Sea-Ice Velocity [m s-1],"SIday, SImon"
sltbasin,Northward Ocean Salt Transport [kg s-1],EmonZ
sltovgyre,Northward Ocean Salt Transport Due to Gyre [kg s-1],Omon
sltovovrt,Northward Ocean Salt Transport Due to Overturning [kg s-1],Omon
smc,Shallow Convective Mass Flux [kg m-2 s-1],CFmon
sncIs,Ice Sheet Snow Cover Percentage [%],LImon
snc,Snow Area Percentage [%],"ImonAnt, ImonGre, LImon, day"
sndmassdyn,Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics [kg m-2 s-1],SImon
sndmassmelt,Snow Mass Rate of Change Through Melt [kg m-2 s-1],SImon
sndmasssi,Snow Mass Rate of Change Through Snow-to-Ice Conversion [kg m-2 s-1],SImon
sndmasssnf,Snow Mass Change Through Snow Fall [kg m-2 s-1],SImon
sndmasssubl,Snow Mass Rate of Change Through Evaporation or Sublimation [kg m-2 s-1],SImon
sndmasswindrif,Snow Mass Rate of Change Through Wind Drift of Snow [kg m-2 s-1],SImon
snd,Snow Depth [m],LImon
snicefreezIs,Ice Sheet Surface Snow and Ice Refreeze Flux [kg m-2 s-1],LImon
snicefreez,Surface Snow and Ice Refreeze Flux [kg m-2 s-1],"ImonAnt, ImonGre"
snicemIs,Ice Sheet Surface Snow and Ice Melt Flux [kg m-2 s-1],LImon
snicem,Surface Snow and Ice Melt Flux [kg m-2 s-1],"ImonAnt, ImonGre"
snmassacrossline,Snow Mass Flux Through Straits [kg s-1],SImon
snmIs,Ice Sheet Surface Snow Melt [kg m-2 s-1],LImon
snm,Surface Snow Melt [kg m-2 s-1],"Eday, ImonAnt, ImonGre, LImon"
snowmxrat,Mass Fraction of Snow in Air [1],Emon
snw,Surface Snow Amount [kg m-2],"6hrPlevPt, LImon, day"
so2,SO2 Volume Mixing Ratio [mol mol-1],AERmon
sob,Sea Water Salinity at Sea Floor [0.001],Omon
soga,Global Mean Sea Water Salinity [0.001],"Odec, Omon"
solbnd,TOA Solar Irradiance for each band [W m-2],E3hrPt
somint,Depth Integral of Product of Sea Water Density and Prognostic Salinity [g m-2],"Emon, Oyr"
sootsn,Snow Soot Content [kg m-2],LImon
so,Sea Water Salinity [0.001],Omon
sosga,Global Average Sea Surface Salinity [0.001],Omon
sos,Sea Surface Salinity [0.001],"Oday, Odec, Omon"
sossq,Square of Sea Surface Salinity [1e-06],"Oday, Omon"
spco2abio,Abiotic Surface Aqueous Partial Pressure of CO2 [Pa],Omon
spco2nat,Natural Surface Aqueous Partial Pressure of CO2 [Pa],Omon
spco2,Surface Aqueous Partial Pressure of CO2 [Pa],Omon
sweLut,Snow Water Equivalent on Land-Use Tile [m],Emon
swsffluxaero,Shortwave Heating Rate Due to Volcanic Aerosols [W m-2],6hrPlevPt
sw,Surface Water Storage [kg m-2],Eday
swtoafluxaerocs,TOA Outgoing Clear-Sky Shortwave Flux Due to Volcanic Aerosols [W m-2],6hrPlevPt
sza,Solar Zenith Angle [degree],E3hrPt
t20d,Depth of 20 degree Celsius Isotherm [m],Emon
t2,Mean-Squared Air Temperature [K2],Emon
ta500,Air Temperature [K],Eday
ta700,Air Temperature [K],CFday
ta850,Air Temperature [K],Eday
ta,Air Temperature [K],"6hrLev, 6hrPlevPt, AERmonZ, Amon, CFday, CFmon, CFsubhr, Eday, EdayZ, Emon, day"
talknat,Natural Total Alkalinity [mol m-3],"Omon, Oyr"
talknatos,Surface Natural Total Alkalinity [mol m-3],Omon
talkos,Surface Total Alkalinity [mol m-3],Omon
talk,Total Alkalinity [mol m-3],"Omon, Oyr"
tasIs,Ice Sheet Near-Surface Air Temperature [K],LImon
tasLut,Near-surface Air Temperature on Land Use Tile [K],Emon
tasmaxCrop,Daily Maximum Near-Surface Air Temperature over Crop Tile [K],Emon
tasmax,Daily Maximum Near-Surface Air Temperature [K],"Amon, day"
tasminCrop,Daily Minimum Near-Surface Air Temperature over Crop Tile [K],Emon
tasmin,Daily Minimum Near-Surface Air Temperature [K],"Amon, day"
tas,Near-Surface Air Temperature [K],"3hr, 6hrPlev, 6hrPlevPt, AERhr, Amon, CFsubhr, ImonAnt, ImonGre, day"
tatp,Tropopause Air Temperature [K],AERmon
tauuo,Surface Downward X Stress [N m-2],Omon
tauupbl,Eastward Surface Stress from Planetary Boundary Layer Scheme [Pa],Eday
tauu,Surface Downward Eastward Wind Stress [Pa],"Amon, CFsubhr, Eday"
tauvo,Surface Downward Y Stress [N m-2],"Odec, Omon"
tauv,Surface Downward Northward Wind Stress [Pa],"Amon, CF3hr, CFsubhr, Eday"
tdps,2m Dewpoint Temperature [K],"Eday, Emon"
thetaoga,Global Average Sea Water Potential Temperature [degC],"Odec, Omon"
thetao,Sea Water Potential Temperature [degC],Omon
thetaot2000,Depth Average Potential Temperature of Upper 2000m [degC],Emon
thetaot300,Depth Average Potential Temperature of Upper 300m [degC],Emon
thetaot700,Depth Average Potential Temperature of Upper 700m [degC],Emon
thetaot,Vertically Averaged Sea Water Potential Temperature [degC],Emon
thkcello,Ocean Model Cell Thickness [m],"Odec, Ofx, Omon"
tnhusa,Tendency of Specific Humidity Due to Advection [s-1],"CFmon, CFsubhr"
tnhusc,Tendency of Specific Humidity Due to Convection [s-1],CFmon
tnhusd,Tendency of Specific Humidity Due to Numerical Diffusion [s-1],CFmon
tnhusmp,Tendency of Specific Humidity Due to Model Physics [s-1],CFsubhr
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing [s-1],"Emon, Esubhr"
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing [s-1],CFsubhr
tnhusscp,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation [s-1],"Emon, Esubhr"
tnhus,Tendency of Specific Humidity [s-1],"CFmon, CFsubhr"
tnkebto,Tendency of Ocean Eddy Kinetic Energy Content due to Parameterized Eddy Advection [W m-2],Oclim
tnpeo,Tendency of Ocean Potential Energy Content [W m-2],"Oclim, Oyr"
tnta,Tendency of Air Temperature Due to Advection [K s-1],"CFmon, CFsubhr"
tntc,Tendency of Air Temperature Due to Convection [K s-1],"CFmon, CFsubhr, EmonZ"
tntd,Tendency of Air Temperature Due to Numerical Diffusion [K s-1],"Emon, Esubhr"
tntmp,Tendency of Air Temperature Due to Model Physics [K s-1],"CFmon, CFsubhr, Emon, EmonZ"
tntnogw,Temperature Tendency due to Non-orographic Gravity Wave Dissipation [K s-1],EmonZ
tntogw,Temperature Tendency Due to Orographic Gravity Wave Dissipation [K s-1],EmonZ
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing [K s-1],"Emon, Esubhr"
tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating [K s-1],"Emon, EmonZ, Esubhr"
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating [K s-1],"AERmon, Emon, EmonZ, Esubhr"
tntrscs,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating [K s-1],"Emon, EmonZ, Esubhr"
tntrs,Tendency of Air Temperature Due to Shortwave Radiative Heating [K s-1],"AERmon, EmonZ, Esubhr"
tntr,Tendency of Air Temperature Due to Radiative Heating [K s-1],CFmon
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing [K s-1],CFmon
tntscp,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation [K s-1],"Emon, EmonZ, Esubhr"
tnt,Tendency of Air Temperature [K s-1],"CFmon, CFsubhr"
tob,Sea Water Potential Temperature at Sea Floor [degC],Omon
topg,Bedrock Altitude [m],IfxGre
tosga,Global Average Sea Surface Temperature [degC],"Odec, Omon"
tos,Sea Surface Temperature [degC],"3hr, Amon, Oday, Odec, Omon"
tossq,Square of Sea Surface Temperature [degC2],"Oday, Omon"
toz,Total Column Ozone [m],"AERday, AERmon"
tpf,Permafrost Layer Thickness [m],LImon
tran,Transpiration [kg m-2 s-1],"Eday, Lmon"
treeFracBdlDcd,Broadleaf Deciduous Tree Area Percentage [%],Emon
treeFracBdlEvg,Broadleaf Evergreen Tree Area Percentage [%],Emon
treeFracNdlDcd,Needleleaf Deciduous Tree Area Percentage [%],Emon
treeFracNdlEvg,Needleleaf Evergreen Tree Area Percentage [%],Emon
treeFracPrimDec,Percentage Cover by Primary Deciduous Tree [%],Lmon
treeFracPrimEver,Percentage Cover by Primary Evergreen Trees [%],Lmon
treeFrac,Tree Cover Percentage [%],Lmon
tropoz,Tropospheric Ozone Column [m],AERmon
tsIs,Ice Sheet Surface Temperature [K],LImon
tslsiLut,Surface Temperature on Landuse Tile [K],Emon
tslsi,Surface Temperature Where Land or Sea Ice [K],"3hr, day"
tsl,Temperature of Soil [K],"6hrPlevPt, Eday, Lmon"
tsnIs,Ice Sheet Snow Internal Temperature [K],LImon
tsn,Snow Internal Temperature [K],"ImonAnt, ImonGre, LImon"
tSoilPools,Turnover Rate of Each Model Soil Carbon Pool [s-1],Emon
ts,Surface Temperature [K],"6hrPlevPt, Amon, CF3hr, CFsubhr, Eday, ImonAnt, ImonGre"
ttop,Air Temperature at Cloud Top [K],AERmon
twap,Product of Air Temperature and Omega [K Pa s-1],Emon
u2,Mean-Squared Eastward Wind Speed [m2 s-2],Emon
ua100m,Eastward Wind at 100m [m s-1],6hrPlev
ua10,Eastward Wind at 10hPa [m s-1],AERday
ua,Eastward Wind [m s-1],"6hrLev, 6hrPlevPt, AERmon, AERmonZ, Amon, CFday, CFsubhr, Eday, EdayZ, Emon, day"
uas,Eastward Near-Surface Wind [m s-1],"3hr, 6hrPlev, 6hrPlevPt, Amon, CFsubhr, E3hr, day"
umo,Ocean Mass X Transport [kg s-1],Omon
uo,Sea Water X Velocity [m s-1],"Odec, Omon"
uqint,Eastward Humidity Transport [m2 s-1],Emon
utendepfd,Tendency of Eastward Wind Due to Eliassen-Palm Flux Divergence [m s-2],EmonZ
utendnogw,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag [m s-2],"EdayZ, Emon, EmonZ"
utendogw,Eastward Acceleration Due to Orographic Gravity Wave Drag [m s-2],"EdayZ, Emon"
utendwtem,Tendency of Eastward Wind Due to TEM Upward Advection [m s-1 d-1],EdayZ
ut,Product of Air Temperature and Eastward Wind [K m s-1],Emon
uv,Product of Eastward Wind and Northward Wind [m2 s-2],Emon
uwap,Product of Eastward Wind and Omega [Pa m s-2],Emon
v2,Mean-Squared Northward Wind Speed [m2 s-2],Emon
va100m,Northward Wind at 100m [m s-1],6hrPlev
va,Northward Wind [m s-1],"6hrLev, 6hrPlevPt, AERmon, AERmonZ, Amon, CFday, CFsubhr, Eday, EdayZ, Emon, day"
vas,Northward Near-Surface Wind [m s-1],"3hr, 6hrPlev, 6hrPlevPt, Amon, CFsubhr, E3hr, day"
vegFrac,Total Vegetated Percentage Cover [%],Emon
vegHeightCrop,Height of Crops [m],Emon
vegHeightGrass,Height of Grass [m],Emon
vegHeight,Height of the Vegetation Canopy [m],Emon
vegHeightPasture,Height of Pastures [m],Emon
vegHeightShrub,Height of Shrubs [m],Emon
vegHeightTree,Height of Trees [m],Emon
vmo,Ocean Mass Y Transport [kg s-1],Omon
vmrox,"Mole Fraction of Odd Oxygen (O, O3 and O1D) [mol mol-1]",EmonZ
volcello,Ocean Grid-Cell Volume [m3],"Ofx, Omon, Oyr"
volo,Sea Water Volume [m3],"Odec, Omon"
vo,Sea Water Y Velocity [m s-1],"Odec, Omon"
vqint,Northward Humidity Transport [m2 s-1],Emon
vsfevap,Virtual Salt Flux into Sea Water Due to Evaporation [kg m-2 s-1],Omon
vsfpr,Virtual Salt Flux into Sea Water Due to Rainfall [kg m-2 s-1],Omon
vsfriver,Virtual Salt Flux into Sea Water from Rivers [kg m-2 s-1],Omon
vsfsit,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics [kg m-2 s-1],Omon
vsf,Virtual Salt Flux into Sea Water [kg m-2 s-1],Omon
vt100,Northward Heat Flux Due to Eddies [W m-2],AERmonZ
vtem,Transformed Eulerian Mean Northward Wind [m s-1],"EdayZ, EmonZ"
vtendnogw,Northward Acceleration Due to Non-Orographic Gravity Wave Drag [m s-2],"Emon, EmonZ"
vtendogw,Northward Acceleration Due to Orographic Gravity Wave Drag [m s-2],Emon
vt,Product of Air Temperature and Northward Wind [K m s-1],Emon
vwap,Product of Northward Wind and Omega [Pa m s-2],Emon
wap2,Mean-Squared Vertical Velocity (Omega) [Pa2 s-2],Emon
wap,Omega (=dp/dt) [Pa s-1],"6hrPlev, Amon, CFday, CFsubhr, Eday, Emon, day"
wa,Upward Air Velocity [m s-1],AERmon
wbptemp,Wet Bulb Potential Temperature [K],6hrPlevPt
wetbc,Wet Deposition Rate of Black Carbon Aerosol Mass [kg m-2 s-1],AERmon
wetdust,Wet Deposition Rate of Dust [kg m-2 s-1],AERmon
wetlandCH4cons,Grid Averaged Methane Consumption (Methanotrophy) from Wetlands [kg m-2 s-1],Emon
wetlandCH4,Grid Averaged Methane Emissions from Wetlands [kg m-2 s-1],Emon
wetlandCH4prod,Grid Averaged Methane Production (Methanogenesis) from Wetlands [kg m-2 s-1],Emon
wetlandFrac,Wetland Percentage Cover [%],Emon
wetnh3,Wet Deposition Rate of NH3 [kg m-2 s-1],AERmon
wetnh4,Wet Deposition Rate of NH4 [kg m-2 s-1],AERmon
wetnoy,Wet Deposition Rate of NOy Including Aerosol Nitrate [kg m-2 s-1],AERmon
wetoa,Wet Deposition Rate of Dry Aerosol Total Organic Matter [kg m-2 s-1],AERmon
wetso2,Wet Deposition Rate of SO2 [kg m-2 s-1],AERmon
wetso4,Wet Deposition Rate of SO4 [kg m-2 s-1],AERmon
wetss,Wet Deposition Rate of Sea-Salt Aerosol [kg m-2 s-1],AERmon
wfcorr,Water Flux Correction [kg m-2 s-1],Omon
wfonocorr,Water Flux into Sea Water Without Flux Correction [kg m-2 s-1],Omon
wfo,Water Flux into Sea Water [kg m-2 s-1],"Odec, Omon"
wmo,Upward Ocean Mass Transport [kg s-1],Omon
wo,Sea Water Vertical Velocity [m s-1],"Odec, Omon"
wsgmax10m,Maximum Wind Speed of Gust at 10m [m s-1],6hrPlev
wtd,Water Table Depth [m],Emon
wtem,Transformed Eulerian Mean Upward Wind [m s-1],"EdayZ, EmonZ"
xgwdparam,Eastward Gravity Wave Drag [Pa],"Emon, EmonZ"
ygwdparam,Northward Gravity Wave Drag [Pa],"Emon, EmonZ"
zfull,Altitude of Model Full-Levels [m],"CF3hr, fx"
zfullo,Depth Below Geoid of Ocean Layer [m],Omon
zg1000,Geopotential Height at 1000hPa [m],"6hrPlev, AERday"
zg100,Geopotential Height at 100hPa [m],AERday
zg10,Geopotential Height at 10hPa [m],AERday
