name, nominal_resolution_km, year, source_id, location, institute, difference_note, CMIP6, esgf_available, data_node_available, scenarios, num_scenarios_dominating, num_ensemble_members, ensemble_members_dominating, note_scenarios, mon_frequency, link
GISS, 250, 2019, GISS-E2-2-G, USA, "National Oceanic and Atmospheric Administration", "G/H -> different ocean models. numbers -> different atmo models", True, True, True, ssp126 ssp245 ssp370 ssp534-over ssp585, 5, 5 5 5 5 5, 5, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019JD032204"
INM, 250, 2015, IITM-ESM, Russia, "Institute for Numerical Mathematics", nan, True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 1 1, 1, nan, True, "https://arxiv.org/abs/2101.03410"
INM, 100, 2016, INM-CM4-8, Russia, "Institute for Numerical Mathematics", "different atmo model", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 1 1, 1, nan, True, "https://www.researchgate.net/publication/329748540_Simulation_of_the_modern_climate_using_the_INM-CM48_climate_model"
INM, 100, 2016, INM-CM5-0, Russia, "Institute for Numerical Mathematics", "different atmo model", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 5 1, 1, nan, True, "https://doi.org/10.5194/esd-9-1235-2018"
IPSL, 500, 2019, IPSL-CM5A2-INCA, France, "Institute Pierre-Simon Laplace", "different atmo model and res", True, True, True, ssp126 ssp370, 2, 1 1, 1, nan, True, "https://gmd.copernicus.org/preprints/gmd-2019-332/gmd-2019-332.pdf"
IPSL, 250, 2017, IPSL-CM6A-LR, France, "Institute Pierre-Simon Laplace", "different atmo model and res", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 8, 6 6 11 11 2 7 1 7, nan, "the most important 4 scenarios have at least 6 runs", True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS002010"
KACE, 250, 2018, KACE-1-0-G, Korea, "Meteorological Administration Advanced Community", nan, True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 3 3 3 3, 3, nan, True, "https://link.springer.com/article/10.1007/s13143-019-00144-7"
KIOST, 250, 2018, KIOST-ESM, Korea, "Institute of Ocean Science and Technology", nan, True, True, True, ssp126 ssp245 ssp585, 3, 1 1 1, 1, nan, True, "https://link.springer.com/article/10.1007/s12601-021-00001-7"
Manabe, 250, 1991, MCM-UA-1-0, USA, "University of Arizona", nan, True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 1 1, 1, nan, True, "https://www.wdc-climate.de/ui/cmip6?input=CMIP6.CMIP.UA.MCM-UA-1-0"
MIROC, 500, 2018, MIROC-ES2L, Japan, "Japan Agency for Marine-Earth Science and Technology", "different iterations and resolutions", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp534-over ssp585, 6, 10 10 30 10 1 10, 10, nan, True, "https://gmd.copernicus.org/articles/13/2197/2020/"
MIROC, 250, 2017, MIROC6, Japan, "Japan Agency for Marine-Earth Science and Technology", "different iterations and resolutions", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 8, 50 50 50 50 1 1 1 50, 50, nan, True, "https://gmd.copernicus.org/articles/12/2727/2019/gmd-12-2727-2019.html"
MPIESM, 250, 2017, MPI-ESM-1-2-HAM, Germany, "Max Planck Institute", "not sure what all differences are", True, True, True, ssp370, 1, 3, 3, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018MS001400"
